Date,Open,High,Low,Close,Adj Close,Volume
2014-03-20,16.0,17.6,16.0,17.27,17.27,5402600
2014-03-21,17.610001,19.309998999999998,17.0,18.16,18.16,1060100
2014-03-24,19.290001,19.290001,16.9,17.139999,17.139999,574500
2014-03-25,17.209999,18.139999,17.209999,17.299999,17.299999,332500
2014-03-26,17.5,17.5,15.52,15.55,15.55,525100
2014-03-27,15.5,15.5,14.138,14.48,14.48,485200
2014-03-28,14.44,15.28,14.25,15.1,15.1,149300
2014-03-31,15.5,15.5,14.0,14.41,14.41,280200
2014-04-01,14.35,14.7,13.75,14.13,14.13,265600
2014-04-02,14.07,14.43,14.0,14.08,14.08,114800
2014-04-03,13.89,14.35,13.77,14.09,14.09,130300
2014-04-04,13.78,14.0,12.73,12.8,12.8,294400
2014-04-07,12.52,12.69,11.101,11.52,11.52,291300
2014-04-08,11.71,12.3,10.82,11.3,11.3,202100
2014-04-09,11.55,12.49,11.47,12.16,12.16,194000
2014-04-10,12.3,12.63,11.58,11.92,11.92,68500
2014-04-11,12.0,12.38,11.51,11.71,11.71,80500
2014-04-14,12.05,12.5,10.08,12.19,12.19,296600
2014-04-15,12.62,12.62,11.35,11.76,11.76,101800
2014-04-16,12.2,12.7,12.13,12.59,12.59,232600
2014-04-17,12.54,13.19,12.0,12.84,12.84,157800
2014-04-21,12.85,12.949,12.5,12.73,12.73,85000
2014-04-22,13.05,13.14,12.1,12.24,12.24,221600
2014-04-23,12.08,12.32,11.05,11.52,11.52,225300
2014-04-24,11.65,11.65,10.65,10.72,10.72,189400
2014-04-25,10.55,10.75,9.85,10.1,10.1,282500
2014-04-28,10.28,10.629,9.45,10.14,10.14,162000
2014-04-29,10.4,10.62,10.1,10.26,10.26,85100
2014-04-30,10.45,10.45,10.01,10.25,10.25,34400
2014-05-01,10.01,10.23,10.0,10.12,10.12,66800
2014-05-02,10.04,10.69,10.04,10.53,10.53,91200
2014-05-05,10.69,11.5,10.36,11.01,11.01,109800
2014-05-06,11.0,11.309,10.85,11.09,11.09,56000
2014-05-07,11.35,11.5,10.91,11.35,11.35,95800
2014-05-08,11.45,11.59,10.94,10.94,10.94,73200
2014-05-09,10.96,11.16,10.705,10.8,10.8,25800
2014-05-12,11.06,11.29,10.68,10.85,10.85,45200
2014-05-13,11.54,11.54,10.75,10.93,10.93,20100
2014-05-14,11.05,11.35,10.9,11.03,11.03,48200
2014-05-15,11.32,11.4,10.61,10.75,10.75,81200
2014-05-16,10.93,11.079,10.7,10.94,10.94,34200
2014-05-19,11.1,11.59,10.76,11.41,11.41,84700
2014-05-20,11.55,11.9,11.125,11.73,11.73,88200
2014-05-21,12.1,12.45,11.88,12.29,12.29,112900
2014-05-22,12.36,12.4,11.92,11.99,11.99,83000
2014-05-23,12.07,12.58,12.0,12.5,12.5,61700
2014-05-27,12.57,12.69,12.13,12.35,12.35,49200
2014-05-28,12.02,12.515,12.02,12.26,12.26,28800
2014-05-29,12.37,12.4,12.16,12.24,12.24,14700
2014-05-30,12.18,12.5,11.61,11.88,11.88,56500
2014-06-02,11.79,12.19,11.61,12.0,12.0,16200
2014-06-03,11.99,12.21,11.9,12.21,12.21,29400
2014-06-04,12.17,12.24,12.0,12.08,12.08,18900
2014-06-05,12.28,12.28,12.03,12.07,12.07,28800
2014-06-06,12.04,12.2,12.0,12.15,12.15,10400
2014-06-09,12.15,12.75,11.75,12.37,12.37,280800
2014-06-10,12.44,12.75,12.255,12.27,12.27,59300
2014-06-11,12.3,12.74,12.2,12.39,12.39,81800
2014-06-12,12.5,12.5,11.8,12.11,12.11,40400
2014-06-13,12.0,12.27,11.51,11.76,11.76,47200
2014-06-16,11.775,11.87,11.51,11.52,11.52,20700
2014-06-17,11.37,11.68,10.88,11.22,11.22,71900
2014-06-18,11.21,11.82,11.12,11.37,11.37,25400
2014-06-19,11.27,11.38,10.81,11.04,11.04,42500
2014-06-20,11.05,11.13,10.85,10.99,10.99,37000
2014-06-23,10.94,10.949,10.82,10.86,10.86,16300
2014-06-24,10.85,11.5,10.823,10.905,10.905,53900
2014-06-25,10.83,11.51,10.51,10.52,10.52,118300
2014-06-26,10.52,10.94,10.52,10.77,10.77,42100
2014-06-27,10.64,11.02,10.622,11.01,11.01,20200
2014-06-30,11.03,11.45,10.86,11.38,11.38,68800
2014-07-01,11.25,11.75,11.23,11.64,11.64,35100
2014-07-02,11.45,11.59,11.45,11.46,11.46,15000
2014-07-03,11.46,11.53,11.22,11.32,11.32,10100
2014-07-07,11.31,11.4,11.06,11.16,11.16,32800
2014-07-08,11.2,11.43,11.07,11.36,11.36,35600
2014-07-09,11.36,11.43,11.16,11.3,11.3,29000
2014-07-10,11.06,11.34,10.92,10.97,10.97,27700
2014-07-11,10.96,11.16,10.13,10.3,10.3,171000
2014-07-14,10.3,10.79,9.75,9.77,9.77,143700
2014-07-15,9.75,10.18,9.59,10.06,10.06,64200
2014-07-16,10.19,10.34,9.81,9.88,9.88,46400
2014-07-17,9.17,9.87,9.17,9.32,9.32,125000
2014-07-18,9.33,9.64,9.33,9.5,9.5,15900
2014-07-21,9.48,9.6,9.28,9.42,9.42,29200
2014-07-22,9.49,9.69,9.45,9.58,9.58,29800
2014-07-23,9.56,9.63,9.35,9.41,9.41,15800
2014-07-24,9.423,9.51,9.41,9.47,9.47,7000
2014-07-25,9.487,9.49,9.2,9.43,9.43,21500
2014-07-28,9.46,9.46,9.0,9.04,9.04,61300
2014-07-29,9.04,9.35,9.01,9.11,9.11,10000
2014-07-30,9.22,9.34,9.03,9.15,9.15,68800
2014-07-31,9.0,9.075,8.662,8.7,8.7,70500
2014-08-01,8.68,8.839,8.01,8.1,8.1,69600
2014-08-04,8.31,8.472,8.0,8.26,8.26,62600
2014-08-05,8.17,8.7,8.144,8.54,8.54,52800
2014-08-06,8.65,8.69,8.3,8.49,8.49,34200
2014-08-07,8.49,8.49,8.07,8.3,8.3,40300
2014-08-08,8.39,8.42,8.18,8.2,8.2,9800
2014-08-11,8.3,8.4,8.2,8.24,8.24,28400
2014-08-12,8.29,8.356,8.12,8.19,8.19,17800
2014-08-13,8.28,8.29,7.81,7.81,7.81,50900
2014-08-14,7.79,7.949,7.38,7.42,7.42,73500
2014-08-15,7.42,7.55,7.2,7.3,7.3,76900
2014-08-18,7.32,7.46,7.26,7.33,7.33,22100
2014-08-19,7.41,7.56,7.31,7.32,7.32,44300
2014-08-20,7.35,7.54,7.06,7.06,7.06,47100
2014-08-21,7.07,7.22,7.02,7.1,7.1,50100
2014-08-22,7.15,7.3,7.0,7.0,7.0,66400
2014-08-25,7.04,7.09,6.81,6.81,6.81,57500
2014-08-26,6.81,7.92,6.8,7.64,7.64,149800
2014-08-27,7.74,7.998,7.28,7.61,7.61,70300
2014-08-28,7.54,7.61,7.28,7.3,7.3,27600
2014-08-29,7.31,7.43,7.2,7.3,7.3,23600
2014-09-02,7.31,7.31,7.08,7.15,7.15,33800
2014-09-03,7.15,7.19,7.0,7.0,7.0,14900
